Question,Answer A,Answer B,Answer C,Answer D,Correct,Explanation
"How many times does this loop?\nx = 10\nwhile x > 5:\n  x = x - 2\n  print(x)",2,3,4,Infinite,B,"x goes 10→8→6→4: prints 8 6 4 which is 3 times then stops when x=4."
"What prints?\ni = 0\nwhile i < 3:\n  i = i + 1\nprint(i)",0 1 2,1 2 3,3,0,C,"Loop increments i three times (1 2 3) then prints final value 3 after loop ends."
"What does this function return?\nfunction add(a, b):\n  return a + b\nresult = add(3, 5)",3,5,8,Nothing,C,"add(3, 5) returns 3+5 which equals 8 and stores it in result."
"What prints?\nfunction greet(name):\n  print(""Hello "" + name)\ngreet(""Bob"")",Hello,Bob,Hello Bob,Error,C,"greet concatenates Hello with the parameter Bob printing Hello Bob."
"What is the output?\nfunction double(x):\n  x = x * 2\nnum = 5\ndouble(num)\nprint(num)",5,10,0,Error,A,"num stays 5 because the function parameter x is a separate copy not the original."
"What does this return?\nfunction max(a, b):\n  if a > b:\n    return a\n  return b\nresult = max(7, 3)",3,7,10,Nothing,B,"7 > 3 is true so the function returns a which is 7."
"What prints?\nfunction test():\n  x = 10\n  print(x)\nx = 5\ntest()",5,10,15,Error,B,"Function has its own local x=10 which prints not the outer x=5."
"What is output?\nfunction calculate(a, b, c):\n  return a + b\nresult = calculate(2, 3, 4)",5,6,9,Error,A,"Function only uses first two parameters: returns 2+3=5 ignoring c."
"What happens?\nfunction greet():\n  return ""Hi""\nmessage = greet(""Alice"")",Hi,Alice,Hi Alice,Error,D,"greet takes no parameters but was called with one argument causing an error."
"What does this return?\nfunction sum(numbers):\n  total = 0\n  for n in numbers:\n    total = total + n\n  return total\nsum([1, 2, 3])",0,3,6,Error,C,"Loop adds each number: 0+1+2+3=6 then returns total."
"What prints?\nfunction outer():\n  x = 5\n  function inner():\n    print(x)\n  inner()\nouter()",5,Nothing,Error,Undefined,A,"inner can access outer's variable x which is 5 so it prints 5."
"What is the result?\nfunction power(base, exp):\n  result = 1\n  for i in range(exp):\n    result = result * base\n  return result\npower(2, 3)",2,3,6,8,D,"Loop runs 3 times multiplying: 1*2*2*2=8 which is 2 to the power of 3."
"What does this print?\nitems = [10, 20, 30]\nprint(items[0])",10,20,30,Error,A,"Arrays start at index 0 so items[0] accesses the first element which is 10."
"What is output?\nletters = [""a"", ""b"", ""c""]\nprint(letters[2])",a,b,c,Error,C,"Index 2 is the third position (0=a 1=b 2=c) so it prints c."
"What happens?\nnumbers = [5, 10, 15]\nprint(numbers[3])",5,15,0,Error,D,"Array has indices 0 1 2 only so accessing index 3 is out of bounds causing an error."
"What prints?\ndata = [1, 2, 3]\ndata[1] = 99\nprint(data[1])",1,2,99,Error,C,"data[1] is reassigned to 99 so printing data[1] outputs 99."
"What is the output?\nnums = [10, 20, 30]\nprint(nums[-1])",10,20,30,Error,C,"Negative index -1 refers to the last element which is 30."
"What does this print?\nscores = [85, 90, 78]\ntotal = 0\nfor score in scores:\n  total = total + score\nprint(total)",85,90,253,Error,C,"Loop adds all scores: 0+85+90+78=253 then prints total."
"What is output?\nmatrix = [[1, 2], [3, 4]]\nprint(matrix[1][0])",1,2,3,4,C,"matrix[1] is [3, 4] then [0] gets first element which is 3."
"What prints?\nwords = [""cat"", ""dog""]\nwords.append(""bird"")\nprint(words[2])",cat,dog,bird,Error,C,"append adds bird to end making it index 2 so words[2] prints bird."
"What happens?\nitems = [5, 10]\nitems[0] = items[0] + items[1]\nprint(items[0])",5,10,15,Error,C,"items[0] becomes 5+10=15 then prints 15."
"What is the result?\narr = [1, 2, 3, 4, 5]\nprint(arr[1:3])",[1 2],[2 3],[1 2 3],[2 3 4],B,"Slice [1:3] takes elements from index 1 up to but not including 3: [2 3]."
"What does this print?\nperson = {""name"": ""Alice"" ""age"": 30}\nprint(person[""name""])",Alice,30,name,Error,A,"Dictionary lookup person[""name""] returns the value associated with key name which is Alice."
"What is output?\ndata = {""x"": 10 ""y"": 20}\nprint(data[""y""])",10,20,x,y,B,"data[""y""] accesses the value for key y which is 20."
"What happens?\ninfo = {""color"": ""red""}\nprint(info[""size""])",red,size,Nothing,Error,D,"Key size doesn't exist in the dictionary so accessing it causes a key error."
"What prints?\nscores = {""math"": 85 ""english"": 90}\nscores[""math""] = 95\nprint(scores[""math""])",85,90,95,Error,C,"scores[""math""] is updated to 95 so printing it outputs 95."
"What is the output?\nconfig = {""debug"": True ""port"": 8080}\nprint(config[""debug""])",True,8080,debug,Error,A,"config[""debug""] returns the boolean value True."
"What does this print?\nmenu = {""pizza"": 12 ""burger"": 8}\nmenu[""salad""] = 6\nprint(menu[""salad""])",12,8,6,Error,C,"New key salad is added with value 6 so menu[""salad""] prints 6."
"What is the result?\ndata = {""a"": 1 ""b"": 2}\ndata[""a""] = data[""a""] + data[""b""]\nprint(data[""a""])",1,2,3,Error,C,"data[""a""] becomes 1+2=3 then prints 3."
"What prints?\nuser = {""name"": ""Bob"" ""age"": 25}\nfor key in user:\n  print(user[key])",Bob 25,name age,Bob,25,A,"Loop iterates over keys printing each value: Bob then 25."
"What is output?\nstock = {""apples"": 10 ""oranges"": 5}\ntotal = stock[""apples""] + stock[""oranges""]\nprint(total)",10,5,15,Error,C,"Adds values from both keys: 10+5=15 then prints 15."
"What does this return?\nsettings = {""volume"": 50}\nif ""volume"" in settings:\n  print(""Found"")\nelse:\n  print(""Missing"")",Found,Missing,50,Error,A,"Key volume exists in settings so the if-block runs printing Found."
